Rank,Title,Budget,Genre
290,The Lego Movie,"$60,000,000",Action Adventure Animation Comedy Family Fantasy Sci-Fi
291,Godzilla vs. Kong,N/A,Action Sci-Fi Thriller
292,The Hangover,"$35,000,000",Comedy
293,Lucy,"$40,000,000",Action Sci-Fi Thriller
294,Bumblebee,"$135,000,000",Action Adventure Sci-Fi
295,The Matrix,"$63,000,000",Action Sci-Fi
296,Star Trek Into Darkness,"$190,000,000",Action Adventure Sci-Fi
297,Gladiator,"$103,000,000",Action Adventure Drama
298,Pretty Woman,"$14,000,000",Comedy Romance
299,Gladiator II,N/A,Action Adventure Drama
300,Cars,"$120,000,000",Adventure Animation Comedy Family Sport
301,The Eight Hundred,N/A,History War
302,X-Men: The Last Stand,"$210,000,000",Action Adventure Sci-Fi
303,Moon Man,N/A,Comedy Sci-Fi
304,National Treasure: Book of Secrets,N/A,Action Adventure Mystery Thriller
305,Mission: Impossible,"$80,000,000",Action Adventure Thriller
306,300,"$65,000,000",Action Drama
307,The Last Samurai,"$140,000,000",Action Drama
308,Beetlejuice Beetlejuice,N/A,Comedy Fantasy Horror
309,Beauty and the Beast,"$25,000,000",Animation Family Fantasy Musical Romance
310,Dying to Survive,N/A,Comedy Drama
311,Ocean's Eleven,"$85,000,000",Crime Thriller
312,"My People, My Country",N/A,Drama History
313,Pokémon: Detective Pikachu,"$150,000,000",Adventure Comedy Family Mystery Sci-Fi
314,Thor,"$150,000,000",Action Fantasy
315,Pearl Harbor,"$140,000,000",Action Drama Romance War
316,Tarzan,"$130,000,000",Adventure Animation Comedy Drama Family Music
317,John Wick: Chapter 4,N/A,Action Crime Thriller
318,1917,"$95,000,000",Action Drama War
319,Men in Black II,"$140,000,000",Action Adventure Comedy Mystery Sci-Fi
320,The Mummy Returns,"$98,000,000",Action Adventure Fantasy Thriller
321,Alvin and the Chipmunks: The Squeakquel,"$75,000,000",Adventure Animation Comedy Family Fantasy Music Musical
322,The Bourne Ultimatum,"$110,000,000",Action Mystery Thriller
323,Les Misérables,"$61,000,000",Drama Musical Romance
324,Transformers: Rise of the Beasts,N/A,Action Adventure Sci-Fi
325,Mrs. Doubtfire,"$25,000,000",Comedy Drama Family
326,Terminator Genisys,"$155,000,000",Action Adventure Sci-Fi Thriller
327,Aquaman and the Lost Kingdom,N/A,Action Adventure Fantasy Sci-Fi
328,Warcraft,"$160,000,000",Action Adventure Fantasy
329,A Star Is Born,"$36,000,000",Drama Music Romance
330,Yolo,N/A,Action Comedy Drama Sport
331,Terminator 3: Rise of the Machines,"$200,000,000",Action Sci-Fi
332,Shang-Chi and the Legend of the Ten Rings,N/A,Action Adventure Fantasy Sci-Fi
333,Die Another Day,"$142,000,000",Action Adventure Thriller
334,The Secret Life of Pets 2,"$80,000,000",Adventure Animation Comedy Family
335,The Exorcist,"$11,000,000",Horror
336,Cast Away,"$90,000,000",Adventure Drama Romance
337,Rampage,"$120,000,000",Action Adventure Sci-Fi
338,The Matrix Revolutions,"$150,000,000",Action Sci-Fi
339,The Intouchables,N/A,Comedy Drama
340,Bad Boys for Life,"$90,000,000",Action Comedy Crime Thriller
341,Django Unchained,"$100,000,000",Drama Western
342,Dances with Wolves,"$22,000,000",Adventure Drama Western
343,Pegasus 2,N/A,Comedy Drama Sport
344,"My People, My Homeland",N/A,Drama
345,Successor,N/A,Comedy Drama
346,The Chronicles of Narnia: Prince Caspian,"$225,000,000",Action Adventure Family Fantasy
347,Sex and the City,"$65,000,000",Comedy Drama Romance
348,The Captain,N/A,Action Adventure Drama Family Thriller
349,The Mummy,"$80,000,000",Action Adventure Fantasy
350,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$155,000,000",Adventure Family Fantasy
351,Jason Bourne,"$120,000,000",Action Thriller
352,Captain America: Brave New World,N/A,Action Adventure Sci-Fi
353,The Wolverine,"$120,000,000",Action Sci-Fi
354,Kingsman: The Secret Service,"$81,000,000",Action Adventure Comedy Thriller
355,The King's Speech,"$15,000,000",Biography Drama History
356,Night at the Museum: Battle of the Smithsonian,"$150,000,000",Adventure Comedy Family Fantasy
357,Batman,"$35,000,000",Action Adventure
358,The Bodyguard,N/A,Drama Music Romance Thriller
359,Pacific Rim,"$190,000,000",Action Adventure Sci-Fi
360,Kingsman: The Golden Circle,"$104,000,000",Action Adventure Comedy Crime Thriller
361,Dune: Part One,N/A,Action Adventure Drama Sci-Fi
362,The Mummy,"$125,000,000",Action Adventure Fantasy Horror Thriller
363,Ice Age: Collision Course,"$105,000,000",Adventure Animation Comedy Family Sci-Fi
364,Twilight,"$37,000,000",Drama Fantasy Romance
365,Sing 2,N/A,Adventure Animation Comedy Family Musical
366,Signs,"$72,000,000",Drama Mystery Sci-Fi Thriller
367,X2: X-Men United,"$110,000,000",Action Sci-Fi Thriller
368,Fantastic Beasts: The Secrets of Dumbledore,N/A,Adventure Fantasy
369,Uncharted,N/A,Action Adventure
370,The Wolf of Wall Street,"$100,000,000",Biography Comedy Crime Drama
371,Sonic the Hedgehog 2,N/A,Action Adventure Comedy Family Fantasy Sci-Fi
372,Your Name.,N/A,Animation Drama Fantasy Romance
373,Alita: Battle Angel,"$170,000,000",Action Adventure Sci-Fi Thriller
374,Bad Boys: Ride or Die,N/A,Action Adventure Comedy Crime Thriller
375,The Mummy: Tomb of the Dragon Emperor,"$145,000,000",Action Adventure Fantasy Horror
376,Prometheus,"$130,000,000",Adventure Mystery Sci-Fi
377,Gone with the Wind,N/A,Drama Romance War
378,Eternals,N/A,Action Adventure Fantasy Sci-Fi
379,Tron: Legacy,"$170,000,000",Action Adventure Sci-Fi
380,Mission: Impossible III,"$150,000,000",Action Adventure Thriller
381,Meg 2: The Trench,N/A,Action Adventure Horror Sci-Fi Thriller
382,Kingdom of the Planet of the Apes,N/A,Action Adventure Drama Sci-Fi Thriller
383,Snow White and the Huntsman,"$170,000,000",Action Adventure Drama Fantasy
384,Grease,"$6,000,000",Comedy Musical Romance
385,Mamma Mia! Here We Go Again,"$75,000,000",Comedy Musical Romance
386,Toy Story,N/A,Adventure Animation Comedy Family Fantasy
387,Spider-Man: Into the Spider-Verse,"$90,000,000",Action Adventure Animation Comedy Family Fantasy Sci-Fi
388,Black Adam,N/A,Action Adventure Fantasy Sci-Fi
389,Solo: A Star Wars Story,"$275,000,000",Action Adventure Sci-Fi
1,Avatar,"$237,000,000",Action Adventure Fantasy Sci-Fi
2,Avengers: Endgame,"$356,000,000",Action Adventure Sci-Fi
3,Avatar: The Way of Water,N/A,Action Adventure Fantasy Sci-Fi
4,Titanic,"$200,000,000",Drama Romance
5,Star Wars: Episode VII - The Force Awakens,"$245,000,000",Action Adventure Sci-Fi
6,Avengers: Infinity War,N/A,Action Adventure Sci-Fi
7,Spider-Man: No Way Home,N/A,Action Adventure Fantasy Sci-Fi
8,Ne Zha 2,N/A,Action Adventure Animation Drama Fantasy
9,Inside Out 2,N/A,Adventure Animation Comedy Drama Family Fantasy
10,Jurassic World,"$150,000,000",Action Adventure Sci-Fi
11,The Lion King,"$260,000,000",Adventure Animation Drama Family Musical
12,The Avengers,"$220,000,000",Action Sci-Fi
